# Coordinate convention: X horizontal, Y horizontal, Z vertical (SWL=0). Tab-separated.
ElementId	X0_m	Y0_m	Z0_m	Xt_m	Yt_m	Zt_m	D_m	t_m
1	6.26091624606	1.81042820407e-16	2.70676883051	5.65685424949	0	17	1.2	0.035
2	-1.81042820407e-16	-6.26091624606	2.70676883051	0	-5.65685424949	17	1.2	0.035
3	-6.26091624606	-1.81042820407e-16	2.70676883051	-5.65685424949	0	17	1.2	0.035
4	1.81042820407e-16	6.26091624606	2.70676883051	0	5.65685424949	17	1.2	0.035
5	6.92948244932	7.26028240527e-17	-13.1127519298	6.26091624606	1.81042820407e-16	2.70676883051	1.2	0.04
6	-7.26028240527e-17	-6.92948244932	-13.1127519298	-1.81042820407e-16	-6.26091624606	2.70676883051	1.2	0.04
7	-6.92948244932	-7.26028240527e-17	-13.1127519298	-6.26091624606	-1.81042820407e-16	2.70676883051	1.2	0.04
8	7.26028240527e-17	6.92948244932	-13.1127519298	1.81042820407e-16	6.26091624606	2.70676883051	1.2	0.04
9	7.66944088185	2.21295721722e-16	-30.621545716	6.92948244932	7.26028240527e-17	-13.1127519298	1.2	0.05
10	-2.21295721722e-16	-7.66944088185	-30.621545716	-7.26028240527e-17	-6.92948244932	-13.1127519298	1.2	0.05
11	-7.66944088185	-2.21295721722e-16	-30.621545716	-6.92948244932	-7.26028240527e-17	-13.1127519298	1.2	0.05
12	2.21295721722e-16	7.66944088185	-30.621545716	7.26028240527e-17	6.92948244932	-13.1127519298	1.2	0.05
13	8.48841509744	-4.1316212876e-17	-50	7.66944088185	2.21295721722e-16	-30.621545716	1.2	0.065
14	4.1316212876e-17	-8.48841509744	-50	-2.21295721722e-16	-7.66944088185	-30.621545716	1.2	0.065
15	-8.48841509744	4.1316212876e-17	-50	-7.66944088185	-2.21295721722e-16	-30.621545716	1.2	0.065
16	-4.1316212876e-17	8.48841509744	-50	2.21295721722e-16	7.66944088185	-30.621545716	1.2	0.065
17	6.26091624606	1.81042820407e-16	2.70676883051	0	-5.65685424949	17	0.6	0.02
18	-1.81042820407e-16	-6.26091624606	2.70676883051	5.65685424949	0	17	0.6	0.02
19	-1.81042820407e-16	-6.26091624606	2.70676883051	-5.65685424949	0	17	0.6	0.02
20	-6.26091624606	-1.81042820407e-16	2.70676883051	0	-5.65685424949	17	0.6	0.02
21	-6.26091624606	-1.81042820407e-16	2.70676883051	-5.65685424949	0	17	0.6	0.02
22	1.81042820407e-16	6.26091624606	2.70676883051	-5.65685424949	0	17	0.6	0.02
23	6.26091624606	1.81042820407e-16	2.70676883051	0	5.65685424949	17	0.6	0.02
24	1.81042820407e-16	6.26091624606	2.70676883051	5.65685424949	0	17	0.6	0.02
25	6.92948244932	7.26028240527e-17	-13.1127519298	-1.81042820407e-16	-6.26091624606	2.70676883051	0.6	0.02
26	-7.26028240527e-17	-6.92948244932	-13.1127519298	6.26091624606	1.81042820407e-16	2.70676883051	0.6	0.02
27	-7.26028240527e-17	-6.92948244932	-13.1127519298	-6.26091624606	-1.81042820407e-16	2.70676883051	0.6	0.02
28	-6.92948244932	-7.26028240527e-17	-13.1127519298	-1.81042820407e-16	-6.26091624606	2.70676883051	0.6	0.02
29	-6.92948244932	-7.26028240527e-17	-13.1127519298	1.81042820407e-16	6.26091624606	2.70676883051	0.6	0.02
30	7.26028240527e-17	6.92948244932	-13.1127519298	-6.26091624606	-1.81042820407e-16	2.70676883051	0.6	0.02
31	6.92948244932	7.26028240527e-17	-13.1127519298	1.81042820407e-16	6.26091624606	2.70676883051	0.6	0.02
32	7.26028240527e-17	6.92948244932	-13.1127519298	6.26091624606	1.81042820407e-16	2.70676883051	0.6	0.02
33	7.66944088185	2.21295721722e-16	-30.621545716	-7.26028240527e-17	-6.92948244932	-13.1127519298	0.6	0.03
34	-2.21295721722e-16	-7.66944088185	-30.621545716	6.92948244932	7.26028240527e-17	-13.1127519298	0.6	0.03
35	-2.21295721722e-16	-7.66944088185	-30.621545716	-6.92948244932	-7.26028240527e-17	-13.1127519298	0.6	0.03
36	-7.66944088185	-2.21295721722e-16	-30.621545716	-7.26028240527e-17	-6.92948244932	-13.1127519298	0.6	0.03
37	-7.66944088185	-2.21295721722e-16	-30.621545716	7.26028240527e-17	6.92948244932	-13.1127519298	0.6	0.03
38	2.21295721722e-16	7.66944088185	-30.621545716	-6.92948244932	-7.26028240527e-17	-13.1127519298	0.6	0.03
39	7.66944088185	2.21295721722e-16	-30.621545716	7.26028240527e-17	6.92948244932	-13.1127519298	0.6	0.03
40	2.21295721722e-16	7.66944088185	-30.621545716	6.92948244932	7.26028240527e-17	-13.1127519298	0.6	0.03
41	8.48841509744	-4.1316212876e-17	-50	-2.21295721722e-16	-7.66944088185	-30.621545716	0.6	0.03
42	4.1316212876e-17	-8.48841509744	-50	7.66944088185	2.21295721722e-16	-30.621545716	0.6	0.03
43	4.1316212876e-17	-8.48841509744	-50	-7.66944088185	-2.21295721722e-16	-30.621545716	0.6	0.03
44	-8.48841509744	4.1316212876e-17	-50	-2.21295721722e-16	-7.66944088185	-30.621545716	0.6	0.03
45	-8.48841509744	4.1316212876e-17	-50	2.21295721722e-16	7.66944088185	-30.621545716	0.6	0.03
46	-4.1316212876e-17	8.48841509744	-50	-7.66944088185	-2.21295721722e-16	-30.621545716	0.6	0.03
47	8.48841509744	-4.1316212876e-17	-50	2.21295721722e-16	7.66944088185	-30.621545716	0.6	0.03
48	-4.1316212876e-17	8.48841509744	-50	7.66944088185	2.21295721722e-16	-30.621545716	0.6	0.03
